gene_name,gene_id,n_exons,total_count
ENSG00000282885,ENSG00000282885,47,282218644
MALAT1,ENSG00000251562,136,133597873
RN7SL2,ENSG00000274012,1,70279301
RN7SL1,ENSG00000276168,1,63002132
MBP,ENSG00000197971,104,46724328
RN7SL5P,ENSG00000265735,1,31063472
GFAP,ENSG00000131095,97,27460883
RN7SL4P,ENSG00000263740,1,20144004
LINC00632,ENSG00000203930,59,17466010
RN7SL3,ENSG00000278771,1,16692938
MT-RNR2,ENSG00000210082,1,10522355
MT-CO1,ENSG00000198804,1,9945571
ENSG00000281181,ENSG00000281181,1,9541229
ENSG00000280614,ENSG00000280614,1,9539370
ENSG00000280800,ENSG00000280800,1,9537023
7SK,ENSG00000277313,7,9498751
ACTB,ENSG00000075624,77,9458584
RN7SK,ENSG00000283293,1,9378725
PLP1,ENSG00000123560,83,9310135
CLU,ENSG00000120885,99,9275469
UBC,ENSG00000150991,37,8525426
ENSG00000281383,ENSG00000281383,1,8337703
ENSG00000262202,ENSG00000262202,7,7496998
SLC1A2,ENSG00000110436,113,7109207
TALAM1,ENSG00000289740,1,6706645
KIF1A,ENSG00000130294,133,6620926
EEF1A1,ENSG00000156508,65,6214137
KIF5A,ENSG00000155980,81,5476053
FTH1,ENSG00000167996,29,5232536
NDRG2,ENSG00000165795,221,5120848
GAPDH,ENSG00000111640,72,5098254
CAMK2A,ENSG00000070808,59,4833364
MT-ND4,ENSG00000198886,1,4698321
SYT1,ENSG00000067715,112,4487536
MAP4,ENSG00000047849,145,4394997
IDS,ENSG00000010404,54,4306163
RN7SKP71,ENSG00000201428,1,4170661
DKK3,ENSG00000050165,113,3850263
MTCO1P12,ENSG00000237973,1,3773315
MT-RNR1,ENSG00000211459,1,3754182
CTSB,ENSG00000164733,202,3688905
TPPP,ENSG00000171368,35,3688311
GNB1,ENSG00000078369,174,3679589
SNORD3D,ENSG00000277947,2,3669299
MT-ND5,ENSG00000198786,1,3524594
GLUL,ENSG00000135821,29,3477349
ACTG1,ENSG00000184009,69,3333003
CALM3,ENSG00000160014,51,3319273
PSAP,ENSG00000197746,74,3317566
MIR663AHG,ENSG00000227195,171,3286104
MT-ND1,ENSG00000198888,1,3273109
GNAS,ENSG00000087460,106,3228562
FAM107A,ENSG00000168309,48,3205262
CKB,ENSG00000166165,48,3107205
MAPK10,ENSG00000109339,339,3086078
MT-ND2,ENSG00000198763,1,3045125
DYNC1H1,ENSG00000197102,185,3024305
NDRG4,ENSG00000103034,135,2999327
ENSG00000259001,ENSG00000259001,1,2978882
RPPH1,ENSG00000277209,1,2978853
MAP2,ENSG00000078018,95,2943649
PTGDS,ENSG00000107317,54,2888516
MT-ATP6,ENSG00000198899,1,2834725
PKM,ENSG00000067225,135,2827547
GTF2I,ENSG00000263001,184,2759251
PEA15,ENSG00000162734,42,2754352
SPTAN1,ENSG00000197694,150,2649568
PTMA,ENSG00000187514,62,2642743
RN7SKP203,ENSG00000200488,1,2582311
RN7SKP80,ENSG00000202058,1,2577672
APP,ENSG00000142192,66,2551152
EEF2,ENSG00000167658,57,2539356
MT-CO2,ENSG00000198712,1,2504356
ANK2,ENSG00000145362,188,2492365
RTN3,ENSG00000133318,54,2459605
CLSTN1,ENSG00000171603,57,2457821
HSPA8,ENSG00000109971,76,2394732
NEAT1,ENSG00000245532,32,2388081
MEG3,ENSG00000214548,101,2381416
MBP-AS1,ENSG00000266844,18,2358584
SNAP25,ENSG00000132639,70,2355521
MT-CYB,ENSG00000198727,1,2348508
SORBS1,ENSG00000095637,175,2314424
MT-CO3,ENSG00000198938,1,2311685
MTURN,ENSG00000180354,9,2311169
SPARCL1,ENSG00000152583,79,2278100
ABCA2,ENSG00000107331,103,2275459
APOE,ENSG00000130203,48,2274400
TUBA1A,ENSG00000167552,25,2260216
SNORD3A,ENSG00000263934,1,2260001
VSNL1,ENSG00000163032,85,2224815
MEF2C,ENSG00000081189,204,2205293
CNP,ENSG00000173786,25,2203914
MAP1B,ENSG00000131711,19,2202775
RPL13A,ENSG00000142541,69,2186480
HNRNPU,ENSG00000153187,109,2181020
SUN2,ENSG00000100242,129,2163855
TUBA1B,ENSG00000123416,25,2161964
CALM1,ENSG00000198668,37,2158027
GPRC5B,ENSG00000167191,43,2137432
UBB,ENSG00000170315,30,2114337
STXBP1,ENSG00000136854,75,2110993
SPTBN1,ENSG00000115306,57,2096917
TUBB4A,ENSG00000104833,30,2087415
WNK1,ENSG00000060237,78,2081876
SLC1A3,ENSG00000079215,87,2077104
BIN1,ENSG00000136717,118,2064922
NTRK2,ENSG00000148053,94,2061925
ADD1,ENSG00000087274,112,2057449
APLP1,ENSG00000105290,70,2052886
TUBB2A,ENSG00000137267,14,2011934
FTL,ENSG00000087086,20,2010113
THY1,ENSG00000154096,50,1972182
TMBIM6,ENSG00000139644,126,1969803
TPT1,ENSG00000133112,59,1958439
HSP90AA1,ENSG00000080824,46,1953564
SNHG14,ENSG00000224078,395,1949297
ADGRG1,ENSG00000205336,223,1942921
CNTN2,ENSG00000184144,95,1940094
GPM6A,ENSG00000150625,86,1928553
FXYD6,ENSG00000137726,95,1927031
DST,ENSG00000151914,182,1923210
